(-46.9, 50.9, 51.9)
(-33.0, 50.9, 45.5)
(-19.2, 50.9, 57.4)
(9.2, 50.9, 65.4)
(35.0, 48.9, 48.7)
(35.7, 48.9, 41.6)
(59.8, 48.9, 9.0)
(61.1, 48.9, 2.3)
(20.5, 50.9, -8.4)
(-6.9, 50.9, -9.0)
(53.7, 48.9, 20.0)
(-16.6, 50.9, 56.4)
(-42.4, 51.9, -31.3)
(-93.6, 51.5, -39.3)
(-106.8, 50.9, -64.2)
(-54.9, 51.9, -81.9)
(-12.1, 53.7, -80.6)
(-63.6, 51.9, -79.6)
(-46.9, 51.2, -78.7)
(39.2, 49.4, -85.7)
(71.1, 50.9, -73.2)
(77.9, 51.6, -56.4)
(83.7, 49.0, -28.7)
(80.5, 48.9, -3.2)
(80.1, 48.9, 1.6)
(40.5, 50.9, -11.6)
(84.7, 48.9, 7.7)
(93.4, 48.9, 35.5)
(107.2, 48.9, 66.1)
(103.3, 48.9, 57.7)
(89.8, 48.9, 10.0)
(45.3, 50.9, -3.2)
(24.0, 50.9, -4.5)
(67.2, 48.9, -6.4)
(29.8, 50.9, 1.6)
(48.5, 49.7, 9.7)
(47.6, 50.4, -1.6)
(37.6, 49.1, -23.2)
(33.4, 48.9, -25.1)
(34.4, 50.7, -16.8)
(88.8, 49.4, -34.2)
(82.1, 50.6, -37.1)
